"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","33/449","432/18888",0.0763888888888889,3.21343726800297,7.26233501266414,4.10756249338469e-09,1.51793104869171e-06,1.28769136156251e-06,"5788/973/1958/3566/974/1386/1380/6868/930/3574/865/917/29760/8943/931/6095/5591/7157/677/4297/6935/91543/5079/29117/64332/27086/55636/2355/567/6670/301/3716/60",33
"GO:0034101","BP","GO:0034101","erythrocyte homeostasis","18/449","144/18888",0.125,5.25835189309577,8.00437881193679,9.76601788977975e-09,3.30823856016289e-06,2.80644514095776e-06,"3304/3303/2039/6521/2624/5591/2038/212/677/23376/25893/51327/51621/29766/80739/94081/567/6670",18
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","27/449","322/18888",0.0838509316770186,3.52734164257356,7.13787099438877,1.59093770451593e-08,4.97473982219789e-06,4.22017159513699e-06,"3304/3303/2039/6521/6868/3574/2624/5591/2038/212/677/4297/23376/3845/25893/51327/51621/29766/80739/64332/2355/83700/94081/567/6670/301/171023",27
"GO:0015671","BP","GO:0015671","oxygen transport","7/449","15/18888",0.466666666666667,19.6311804008909,11.264229987419,2.23465282565399e-08,6.48847409734533e-06,5.50430274950561e-06,"3039/3040/3048/3047/3045/3043/3042",7
"GO:0030217","BP","GO:0030217","T cell differentiation","26/449","310/18888",0.0838709677419355,3.52818449601264,7.00367701692274,2.93332001329319e-08,7.94929723602453e-06,6.74354832529718e-06,"5788/1958/3566/1386/6868/3574/865/917/8943/6095/5591/7157/677/4297/6935/91543/29117/64332/27086/55636/2355/567/6670/301/3716/60",26
"GO:0006959","BP","GO:0006959","humoral immune response","23/449","258/18888",0.0891472868217054,3.75014243538613,6.94056125378824,6.13407245358469e-08,1.53734309854364e-05,1.30415899289932e-05,"5788/4069/710/4057/3576/1667/1668/728358/1380/3848/3574/2208/1669/29760/3507/820/931/3493/3494/3500/3502/6480/6374",23
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","33/449","484/18888",0.0681818181818182,2.8681919416886,6.49716717468174,6.4292331304408e-08,1.53734309854364e-05,1.30415899289932e-05,"5788/973/1958/3566/974/1386/1380/6868/930/3574/865/917/29760/8943/931/6095/5591/7157/677/4297/6935/91543/5079/29117/64332/27086/55636/2355/567/6670/301/3716/60",33
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","28/449","372/18888",0.0752688172043011,3.16631941949853,6.58500873301741,8.65766256779826e-08,1.95518879656111e-05,1.65862588140977e-05,"5788/5551/118460/710/3916/3383/3566/1380/1178/930/2208/3507/5272/23075/1130/3495/91543/3493/3494/3500/3502/28396/28442/913/51571/64332/567/55183",28
"GO:0051168","BP","GO:0051168","nuclear export","18/449","171/18888",0.105263157894737,4.42808580471223,7.02696187502161,1.43283001106274e-07,3.06550210261581e-05,2.60052693420584e-05,"54890/7175/10204/3429/1959/5494/65125/7919/23325/811/3178/55437/283131/10189/91746/6672/23049/6815",18
"GO:0006913","BP","GO:0006913","nucleocytoplasmic transport","25/449","333/18888",0.0750750750750751,3.15816930516262,6.20030605492833,4.50890522511755e-07,8.63936370851279e-05,7.32894555812466e-05,"54890/4659/7175/10204/3429/11142/1959/1386/3837/5494/7157/65125/7919/23325/811/23435/3178/55437/9818/283131/10189/91746/6672/23049/6815",25
"GO:0051169","BP","GO:0051169","nuclear transport","25/449","333/18888",0.0750750750750751,3.15816930516262,6.20030605492833,4.50890522511755e-07,8.63936370851279e-05,7.32894555812466e-05,"54890/4659/7175/10204/3429/11142/1959/1386/3837/5494/7157/65125/7919/23325/811/23435/3178/55437/9818/283131/10189/91746/6672/23049/6815",25
"GO:0042744","BP","GO:0042744","hydrogen peroxide catabolic process","8/449","31/18888",0.258064516129032,10.8559522954235,8.56996636932447,4.67567039575108e-07,8.63936370851279e-05,7.32894555812466e-05,"3039/3040/3048/6622/3047/3045/3043/3042",8
"GO:0001906","BP","GO:0001906","cell killing","20/449","226/18888",0.0884955752212389,3.72272700396161,6.42562245122452,5.03550380259994e-07,8.6822707675862e-05,7.3653444771444e-05,"5788/5551/26228/64581/4069/3916/4057/3383/1667/1668/728358/2208/1669/5272/820/1130/3500/913/51571/567",20
"GO:0015669","BP","GO:0015669","gas transport","7/449","22/18888",0.318181818181818,13.3848957278801,9.06984276831517,5.12606392182211e-07,8.6822707675862e-05,7.3653444771444e-05,"3039/3040/3048/3047/3045/3043/3042",7
"GO:0019731","BP","GO:0019731","antibacterial humoral response","11/449","69/18888",0.159420289855072,6.70630386365837,7.40998189891603,6.39012377850765e-07,0.000103903412638534,8.81433494669097e-05,"4057/1667/1668/728358/1669/3507/820/3493/3494/3500/3502",11
"GO:0015670","BP","GO:0015670","carbon dioxide transport","6/449","15/18888",0.4,16.8267260579065,9.56868423943825,7.28220756431618e-07,0.00011385451441902,9.65850687477725e-05,"3039/3040/3048/3047/3045/3043",6
"GO:0030183","BP","GO:0030183","B cell differentiation","16/449","155/18888",0.103225806451613,4.34238091816941,6.52009771232246,9.21291113705602e-07,0.000138705495452343,0.0001176666545224,"5788/973/974/1380/6868/930/3574/29760/931/5591/7157/677/5079/64332/2355/6670",16
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","18/449","208/18888",0.0865384615384615,3.64039746445092,5.97514593847083,2.57715217829369e-06,0.000374147271598709,0.000317396636695118,"5788/118460/710/3566/1380/930/2208/3507/23075/3495/3493/3494/3500/3502/28396/28442/64332/55183",18
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","14/449","132/18888",0.106060606060606,4.46163190929338,6.22778652678692,3.19897748988135e-06,0.000448408396426472,0.000380393838724185,"4069/4057/3576/1667/1668/728358/1669/3507/820/3493/3494/3500/3502/6374",14
"GO:0019724","BP","GO:0019724","B cell mediated immunity","18/449","212/18888",0.0849056603773585,3.57171071983863,5.87603117842484,3.37773255225011e-06,0.00045768276082989,0.000388261468111276,"5788/118460/710/3566/1380/930/2208/3507/23075/3495/3493/3494/3500/3502/28396/28442/64332/55183",18
"GO:0042743","BP","GO:0042743","hydrogen peroxide metabolic process","9/449","55/18888",0.163636363636364,6.88366066005264,6.81875657818231,5.3939453749171e-06,0.000685171626210847,0.000581244836529225,"1536/3039/3040/3048/6622/3047/3045/3043/3042",9
"GO:0008380","BP","GO:0008380","RNA splicing","29/449","484/18888",0.0599173553719008,2.52053231239301,5.28808224019709,5.44565518489684e-06,0.000685171626210847,0.000581244836529225,"10659/9444/10432/58517/11171/51639/3303/10658/23524/4841/10521/51747/9360/9169/7536/7919/3187/9410/55285/23435/3178/9967/10189/9584/91746/10915/2521/96764/57396",29
"GO:1990000","BP","GO:1990000","amyloid fibril formation","8/449","42/18888",0.19047619047619,8.01272669424117,7.09966642192176,5.5622788843685e-06,0.000685171626210847,0.000581244836529225,"6622/820/2934/23435/3178/2521/567/6477",8
"GO:0002455","BP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","9/449","56/18888",0.160714285714286,6.76073814826599,6.73689694990681,6.29317462135757e-06,0.000752404553994662,0.000638279878005183,"5788/710/1380/2208/3507/3493/3494/3500/3502",9
"GO:0042100","BP","GO:0042100","B cell proliferation","12/449","104/18888",0.115384615384615,4.85386328593456,6.14971391096866,6.73191066484998e-06,0.000781863338646147,0.000663270356031535,"5788/114609/973/5074/933/1380/930/3574/931/64332/2355/115650",12
"GO:0019058","BP","GO:0019058","viral life cycle","22/449","319/18888",0.0689655172413793,2.90115966515629,5.34386715938243,8.70037473865742e-06,0.000982417314240066,0.000833404317071395,"1654/7153/3916/4057/3429/3304/3303/3383/3576/3434/3690/1380/5586/91543/2934/25893/6614/54737/64710/89849/83737/5094",22
"GO:0016032","BP","GO:0016032","viral process","26/449","428/18888",0.0607476635514019,2.55546073309327,5.07926727891281,1.314719535874e-05,0.00144441484143995,0.00122532608805782,"2589/1654/7153/3916/4057/3429/3304/3303/3383/3576/3434/3690/1380/5586/7157/91543/2934/6480/25893/6614/23435/54737/64710/89849/83737/5094",26
"GO:0051028","BP","GO:0051028","mRNA transport","13/449","131/18888",0.099236641221374,4.17456944184702,5.68950873568667,1.48349777461306e-05,0.00152240792358794,0.00129148918435272,"54890/9444/7175/10204/677/65125/7919/3178/9818/283131/10189/91746/23049",13
"GO:0006611","BP","GO:0006611","protein export from nucleus","9/449","62/18888",0.145161290322581,6.10647316617573,6.28454514259325,1.48566042111336e-05,0.00152240792358794,0.00129148918435272,"7175/10204/3429/1959/5494/811/55437/6672/6815",9
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","24/449","380/18888",0.0631578947368421,2.65685148282734,5.09133427871277,1.49806437745431e-05,0.00152240792358794,0.00129148918435272,"5788/118460/114609/26228/64581/353514/3566/3112/3574/865/100133941/8943/5321/5591/3126/51571/29117/64332/4317/567/301/55183/115650/60",24
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","18/449","241/18888",0.0746887966804979,3.14191980334353,5.22207639040341,1.98065898748616e-05,0.00193745280379271,0.00164358008292223,"5788/26228/8754/3576/3566/6622/2208/306/4345/2624/5321/820/6095/5730/27086/867/4317/301",18
"GO:0030099","BP","GO:0030099","myeloid cell differentiation","26/449","439/18888",0.0592255125284738,2.49142868738934,4.93383152512425,2.0388968428646e-05,0.00193745280379271,0.00164358008292223,"114609/9444/54790/4057/3304/3303/2039/6521/865/2624/5591/2038/212/677/23376/25893/7994/51327/51621/29766/80739/27086/2355/94081/567/6670",26
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","23/449","362/18888",0.0635359116022099,2.67275344842437,5.01454309246612,2.04945807043264e-05,0.00193745280379271,0.00164358008292223,"5788/118460/114609/26228/64581/3566/3112/3574/865/100133941/8943/5321/5591/3126/51571/29117/64332/4317/567/301/55183/115650/60",23
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","21/449","315/18888",0.0666666666666667,2.80445434298441,5.03960065695026,2.30778110053615e-05,0.0021320750394726,0.00180868202998957,"5788/54890/114609/973/5573/5074/933/1380/1178/930/598/3574/100133941/931/7157/6480/64332/2355/301/83737/115650",21
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","28/449","500/18888",0.056,2.3557416481069,4.79436032565923,2.71290679958932e-05,0.00245065914229569,0.00207894331589582,"5788/114609/64581/353514/1654/1958/3304/3303/3566/1536/1386/6868/3574/1116/4345/6095/9590/3495/91543/51571/27086/26137/5008/6653/4317/567/301/4671",28
"GO:0046631","BP","GO:0046631","alpha-beta T cell activation","15/449","181/18888",0.0828729281767956,3.48620015011874,5.24456269135339,2.92240546794621e-05,0.00258251700591334,0.00219080098695464,"5788/3566/1386/865/917/8943/6095/4297/91543/64332/27086/2355/301/83737/3716",15
"GO:0050657","BP","GO:0050657","nucleic acid transport","14/449","161/18888",0.0869565217391304,3.65798392563184,5.285269794966,3.15271467591773e-05,0.00266995524116783,0.00226497659611984,"54890/9444/7175/10204/3837/677/65125/7919/3178/9818/283131/10189/91746/23049",14
"GO:0050658","BP","GO:0050658","RNA transport","14/449","161/18888",0.0869565217391304,3.65798392563184,5.285269794966,3.15271467591773e-05,0.00266995524116783,0.00226497659611984,"54890/9444/7175/10204/3837/677/65125/7919/3178/9818/283131/10189/91746/23049",14
"GO:0002227","BP","GO:0002227","innate immune response in mucosa","6/449","27/18888",0.222222222222222,9.34818114328137,6.77372197317905,3.37990805489798e-05,0.00274786524863206,0.00233106921849385,"4057/1667/1668/728358/1669/820",6
"GO:0019755","BP","GO:0019755","one-carbon compound transport","6/449","27/18888",0.222222222222222,9.34818114328137,6.77372197317905,3.37990805489798e-05,0.00274786524863206,0.00233106921849385,"3039/3040/3048/3047/3045/3043",6
"GO:0002819","BP","GO:0002819","regulation of adaptive immune response","16/449","207/18888",0.0772946859903382,3.2515412672283,5.08277637135449,3.75847339829614e-05,0.00291291347791629,0.00247108294261766,"5788/118460/64581/64092/3566/1380/1178/2208/5321/91543/913/51571/64332/567/301/55183",16
"GO:0002685","BP","GO:0002685","regulation of leukocyte migration","17/449","230/18888",0.0739130434782609,3.10928633678706,5.02230278097219,3.82788585089901e-05,0.00291291347791629,0.00247108294261766,"114609/26228/928/3383/3576/3690/6868/8976/1399/4345/23075/2358/65125/811/83700/301/79148",17
"GO:0097191","BP","GO:0097191","extrinsic apoptotic signaling pathway","17/449","230/18888",0.0739130434782609,3.10928633678706,5.02230278097219,3.82788585089901e-05,0.00291291347791629,0.00247108294261766,"5788/1654/3429/9191/3304/3303/3383/2537/598/3574/835/6272/50486/64332/55437/8797/6672",17
"GO:0051236","BP","GO:0051236","establishment of RNA localization","14/449","164/18888",0.0853658536585366,3.59106958552882,5.20041093495622,3.8695529595936e-05,0.00291291347791629,0.00247108294261766,"54890/9444/7175/10204/3837/677/65125/7919/3178/9818/283131/10189/91746/23049",14
