"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"216094_at",49.1270881634386,1.14535999669838,0.157417618710152,7.27593268201634,3.44035126673141e-13,3.04384790669274e-11
"216166_at",32.8441134827931,1.0163397067073,0.223457186382387,4.54825250045041,5.40932104090209e-06,5.74460774050678e-05
"216243_s_at",76.3109057715176,1.03718987961786,0.185242104826919,5.59910437525506,2.15462048484204e-08,4.76574668110462e-07
"216361_s_at",18.8267196207098,-1.41804479066579,0.229004234585738,-6.19222082609519,5.93223602599711e-10,2.08685334882617e-08
"216370_s_at",54.3857415048086,1.18426757446122,0.348996085133753,3.39335489682455,0.000690421256352287,0.00354304634637117
"216379_x_at",273.390259536806,-1.9994493073297,0.303237813524626,-6.59366747203946,4.29092214345952e-11,2.06761483393585e-09
"216491_x_at",130.588107646511,-1.1070636052247,0.318805464718707,-3.47253647675551,0.000515564945513072,0.00277948343403109
"216510_x_at",157.924385310614,-1.15107917306189,0.294805881383782,-3.90453259500409,9.4407668068152e-05,0.000668485131444029
"216550_x_at",343.398892882143,-1.42221561438755,0.23342608453759,-6.09278786132629,1.10961065097547e-09,3.62838568119965e-08
"216563_at",38.6284010869344,-2.10520747256509,0.360299433097175,-5.84293862043712,5.12879190170801e-09,1.36085316918539e-07
"216607_s_at",82.4674123084766,1.13576177259985,0.182561308277276,6.22126223413587,4.93171088099011e-10,1.77743160280262e-08
"217232_x_at",21344.398481215,-2.28374385904703,0.235201324517882,-9.70974063912386,2.74033516531033e-22,2.13214195479763e-19
"217301_x_at",379.389344619463,1.0867778058268,0.136080223613153,7.98630232204995,1.39046445630347e-15,2.31341803314792e-13
"217414_x_at",22554.5230004775,-2.23182533641126,0.214475473915499,-10.4059699492287,2.32872320761586e-25,3.42244687412611e-22
"217418_x_at",708.646300891023,-1.20221055959126,0.364079462198931,-3.30205541485441,0.000959791063336241,0.00468715392089661
"217422_s_at",49.0968888934968,-2.09319821581899,0.283493307748044,-7.38358951908429,1.54077986546707e-13,1.50405131221645e-11
"217534_at",233.617129486339,1.11997942767593,0.186818214235374,5.99502266018266,2.03457070025599e-09,6.18649808098529e-08
"217538_at",41.0185054080216,-1.22530313662967,0.214896298373998,-5.70183454019852,1.18524847946631e-08,2.80300804960489e-07
"217572_at",45.9623217224421,-1.73076440762741,0.295629864060433,-5.85449786383423,4.78453360894111e-09,1.28237134843899e-07
"217593_at",74.1195938314445,-1.13866685264883,0.253266163810586,-4.49592963985675,6.92666403160866e-06,7.09399807557783e-05
"217649_at",41.5788621474554,-1.03348698893201,0.285105592185375,-3.62492710511282,0.000289042967985194,0.00172214925114422
"217749_at",72.607180319991,1.21773212641605,0.129708601539887,9.38821413506321,6.10261610118243e-21,3.50953492044956e-18
"217818_s_at",220.085527475966,1.2410570051247,0.143095740478634,8.67291367984504,4.21201254659003e-18,1.32648309413682e-15
"217960_s_at",108.866653521068,1.56073290048692,0.201112659674078,7.76049057784941,8.46014896964544e-15,1.15094165762453e-12
"217979_at",427.165343475422,-1.44000214401588,0.213506091015397,-6.74454830383287,1.53503816375578e-11,8.26316217435613e-10
"218340_s_at",141.986302252823,1.45282086776743,0.312263045947457,4.65255459018321,3.27847905880632e-06,3.78894211540684e-05
"218859_s_at",268.99137386533,-1.65089517472615,0.198544537293122,-8.31498663843288,9.17626076142003e-17,2.08761831907007e-14
"219073_s_at",101.799198428425,-1.37160482755901,0.261996800881593,-5.23519685333446,1.64809115842349e-07,2.82924098020345e-06
"219158_s_at",185.18893318645,-1.44792209672205,0.225020148975395,-6.43463309092548,1.23771945728478e-10,5.25563892825225e-09
"219300_s_at",28.1117424983325,-1.64638679373037,0.312647432725488,-5.2659533436052,1.39463703477852e-07,2.44006138346766e-06
"219437_s_at",70.7394263267645,-2.77798789122322,0.351996535546949,-7.89208873009687,2.97170315719515e-15,4.57054856514189e-13
"219496_at",35.5673487423759,1.0259930461018,0.197464492653388,5.19583562753602,2.03802278631914e-07,3.41226929046118e-06
"219519_s_at",27.9211402075803,-1.54332779591782,0.492664686082733,-3.13261299117886,0.00173257725631456,0.00766832838188814
"219529_at",279.817368797808,1.01578294129317,0.287442800158911,3.53386113943922,0.0004095361782544,0.00230409826872435
"219549_s_at",715.647409683585,1.22250581617611,0.180223192233423,6.78328799432614,1.17471131441486e-11,6.52853216628795e-10
"219667_s_at",637.887353259119,-1.42298151888578,0.275737362422252,-5.16064093159305,2.46105811897179e-07,4.0437783527503e-06
"219672_at",32.282673370342,-1.75376177718026,0.21998280967018,-7.97226737766315,1.55789292857652e-15,2.55978257966232e-13
"219737_s_at",109.920554807519,-1.46389210990548,0.440102148868184,-3.32625531065955,0.000880212642161818,0.0043564350300746
"219753_at",18.8201171215656,-1.23218595001512,0.253482818772023,-4.86102354386125,1.16780362204815e-06,1.56738087354955e-05
"219754_at",124.291835889409,-1.19047250957904,0.172009788415327,-6.92095793237404,4.48599702196892e-12,2.80549799572496e-10
"219872_at",135.751799956469,1.21630022196135,0.206865741091999,5.87965999367885,4.11110060995286e-09,1.13641646327788e-07
"219878_s_at",188.672466261617,-2.1359563869333,0.264623860643284,-8.07166965874099,6.93432798305722e-16,1.24789600315507e-13
"220059_at",200.979054724662,-1.87618804620755,0.261686086146544,-7.16961330973055,7.52098978941701e-13,5.90386539730675e-11
"220068_at",58.6623072913124,-1.73553940579729,0.287735936882872,-6.03170888071509,1.62234847122132e-09,5.10316366916633e-08
"220072_at",67.7834875390688,-1.75574718989409,0.251716498819597,-6.97509777121289,3.05658171638469e-12,2.00145576052576e-10
"220187_at",39.9924521198696,1.08375109762743,0.29725828565058,3.64582300962793,0.000266537384363821,0.00161054818774795
"220306_at",70.3975312849272,-1.01062955842322,0.265704966806756,-3.80357797059261,0.00014262107546102,0.000948679389048488
"220609_at",64.786773960422,-1.00834057384382,0.206214787644164,-4.88975880616173,1.0095960539227e-06,1.38526213747257e-05
"220800_s_at",113.518014328654,1.01234956474558,0.143848527548239,7.0376081145919,1.95567783563902e-12,1.36146056484196e-10
"220900_at",29.40724977054,1.44915115326914,0.240919689807157,6.01507977379975,1.79798135571494e-09,5.57606081876706e-08
"220940_at",308.232385551496,-1.15492368263725,0.208383304554815,-5.54230428922608,2.98516967092454e-08,6.36852245763207e-07
"221002_s_at",212.784029922539,1.02501815547247,0.168702344619087,6.07589750923061,1.23296143721777e-09,3.97280899636526e-08
"221082_s_at",66.967188110174,1.06010790589045,0.124924308492466,8.48600179327292,2.13868146355832e-17,5.65766794369718e-15
"221123_x_at",78.4394167018849,-1.27148691894374,0.166274968643023,-7.64689315126865,2.05893269592741e-14,2.52162062676221e-12
"221264_s_at",242.626199008342,-1.29399975414662,0.204728306684929,-6.32057078525072,2.60598923686012e-10,1.01829895527175e-08
"221342_at",50.1177690051003,1.05844173683811,0.303671416549595,3.48548358243407,0.000491248367338336,0.00267176897811849
"221479_s_at",1559.95402964422,-1.120875078675,0.271718057678975,-4.12514018482817,3.70509011222369e-05,0.00030130480734327
"221683_s_at",27.5364363540288,-1.40769048227711,0.235528327592128,-5.97673535352762,2.27653573372744e-09,6.79723208803903e-08
"221824_s_at",645.354332592545,-1.03323554998134,0.223546224126413,-4.62202192865963,3.800178314885e-06,4.27786881455183e-05
"221969_at",257.161656175576,-1.16589672653632,0.299633208303018,-3.89107980767357,9.97990981834932e-05,0.000700287889481732
"222040_at",336.023690685705,-1.16002762344034,0.169734248327528,-6.83437570714598,8.23629099208646e-12,4.76767706574738e-10
"222285_at",73.2894928544169,-1.93944207134775,0.286656812782049,-6.76572816297355,1.32640382489477e-11,7.26473846454787e-10
"222439_s_at",84.007676094251,-2.64264867166457,0.316686133217097,-8.34469335559116,7.13989004854272e-17,1.68641652985847e-14
"222529_at",1586.95608176573,-1.90367800115866,0.310339591141611,-6.13417706118583,8.56011385573561e-10,2.85650889986176e-08
"222544_s_at",876.122089358838,-1.31395581825225,0.16343573418085,-8.03958708808621,9.01417028758276e-16,1.57921099859414e-13
"222633_at",443.710730256068,-1.97812812225478,0.246178812035593,-8.03533052214412,9.33269779770927e-16,1.62425781276711e-13
"222667_s_at",579.678153135483,-1.32453735725444,0.199920279285273,-6.62532766555619,3.46478744973139e-11,1.71643234447929e-09
"222679_s_at",275.662196036031,-1.1136747225131,0.214307988350746,-5.19660854027715,2.02957120254504e-07,3.40027084180661e-06
"222737_s_at",306.919859413289,-1.15776050305293,0.162129925897855,-7.14094265226733,9.2693021017248e-13,7.10753964634863e-11
"222891_s_at",344.06693059476,-1.0697611185277,0.142038413301938,-7.53149161314309,5.01639342022882e-14,5.50637641239557e-12
"222915_s_at",181.651720568251,-1.59493165887237,0.267653679395823,-5.9589379173588,2.5388251766771e-09,7.47907363294165e-08
"222922_at",139.686705771971,1.35208796911603,0.241915490356649,5.58909215413484,2.28259801235674e-08,5.01110770281204e-07
